name,rawPrice,customerReview,customerReviewCount,boughtInfo,sponsoredAd,asin,rating
"Castrol Actevo 4T 10W-40 Synthetic Blend Motorcycle Oil, 1 Quart, Pack of 6",51.99,4.8 out of 5 stars,1386,50+ bought in past month,False,B00CJ8GAQ4,4.8
Motul 5100 4T 10W-40 Motorcycle Oil - Technosynthese Semi-Synthetic with Ester - API SP JASO MA2 Wet Clutch Safe - Smooth Shifting Engine and Gearbox Protection for Street ATV UTV 4 L,53.81,4.9 out of 5 stars,18750,50+ bought in past month,False,B00IKCY4ZC,4.9
"Valvoline 4-Stroke Motorcycle Full Synthetic SAE 10W-40 Motor Oil 1 QT, Case of 6",55.13,4.8 out of 5 stars,3073,400+ bought in past month,False,B08126VWPM,4.8
"Valvoline 4-Stroke Motorcycle SAE 10W-40 Motor Oil 1 QT, Case of 6",55.98,4.8 out of 5 stars,641,100+ bought in past month,False,B00DJ4FGMQ,4.8
"Castrol Power1 4T 5W-40 Full Synthetic Motorcycle Oil, 1 Quart, Pack of 6",56.78,4.7 out of 5 stars,1003,200+ bought in past month,False,B008MISDII,4.7
Liqui Moly 4T Synthetic 10w-50 Offroad Race 4-Liter,58.24,4.9 out of 5 stars,58,50+ bought in past month,False,B07DB1D4XG,4.9
"Castrol Power1 4T 10W-40 Full Synthetic Motorcycle Oil, 1 Quart, Pack of 6",59.99,4.8 out of 5 stars,2278,500+ bought in past month,True,B008MISDH4,4.8
"Lucas Oil 10702 High Performance Synthetic 20W-50 Motorcycle Oil - 1 Quart, Pack of 6",65.13,4.8 out of 5 stars,990,200+ bought in past month,False,B001OZL9XC,4.8
Mobil 1 96936 20W-50 V-Twin Synthetic Motocycle Motor Oil - 1 Quart (Pack of 6),65.16,4.8 out of 5 stars,2532,200+ bought in past month,False,B000SKV4T8,4.8
"Castrol Power1 4T 10W-50 Full Synthetic Motorcycle Oil, 1 Quart, Pack of 6",65.82,4.9 out of 5 stars,1253,500+ bought in past month,True,B008MISF54,4.9
Motul 7100 4T 10W-40 Full Synthetic Motorcycle Oil - Ester Technology - API SP JASO MA2 Wet Clutch Safe - Engine and Gearbox Protection for Street Sport Adventure 4L,69.99,4.9 out of 5 stars,7622,900+ bought in past month,False,B00IKCY9RK,4.9
Mobil 1 98JA11 10W-40 Racing 4T Motorcycle Oil for Sport Bikes - 1 Quart (Pack of 6),71.99,4.8 out of 5 stars,786,100+ bought in past month,False,B004U8JH84,4.8
Victory Motorcycle Oil Change Kit 2879600,81.49,4.8 out of 5 stars,2293,200+ bought in past month,False,B00NHY745A,4.8
"Motul 300V Factory Line Road Racing 10W40 4T Synthetic Racing Motor Oil with ESTER Core® Technology for Maximum Power and Protection 4L (10W40, 4L)",84.54,4.9 out of 5 stars,7116,200+ bought in past month,False,B00C714MIG,4.9
"Indian Motorcycle Oil Change Kit for Specific FTR Models Including 1200, S, Rally, Sport, Carbon and More, Includes 4 Quarts 15W-60 Full Synthetic Oil, 1 Oil Filter, 2 Washers - 2884182",91.99,4.7 out of 5 stars,124,,False,B081T5N736,4.7
"Indian Motorcycle Oil Change Kit for All 60 & 69 Cu In Liquid-Cooled Scout Engines, 4 Quarts 15W-60 Full Synthetic Oil, 1 Oil Filter, 2 Washers, Clutch Performance, Engine Protection - 2880191",91.99,4.8 out of 5 stars,1037,200+ bought in past month,False,B0148WPPNC,4.8
"V-Twin Oil Change Kit Synthetic w/Black Filter, Milwaukee-Eight",103.59,4.7 out of 5 stars,319,Shop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them.,False,B07T1RNKWQ,4.7
"Indian Motorcycle Oil Change Kit for Chieftain, Roadmaster, Chief, Springfield Models With Thunderstroke 111 & 116 Engines, 6 Quarts 20W-40 Semi-Synthetic Motor Oil, 1 Oil Filter, 2 Washers - 2889311",107.99,4.8 out of 5 stars,511,200+ bought in past month,False,B0148VWXKQ,4.8
"MaxHiflo VTTOCK14 Complete Engine Oil Change Kit for V-Twin Full Synthetic Harley Davidson Twin Cam, 6 quart",111.27,4.7 out of 5 stars,944,300+ bought in past month,False,B015SX9B7Q,4.7
"MaxHiflo VTTOCK15 Complete Engine Oil Change Kit for V-Twin Full Synthetic 20w50 Harley Davidson Twin Cam, 6 Quart",116.41,4.6 out of 5 stars,538,200+ bought in past month,False,B015SX9B44,4.6
Red Line 90226 20W50 Powersport Motor Oil V-Twin - 1 Powerpack Kit,148.99,4.8 out of 5 stars,2570,300+ bought in past month,False,B0038385H6,4.8
